idlugar,nombrelugar,tipolugar,descripcionlugar,latitud,longitud,imagenlugar
4,Biblioteca,Biblioteca,"La biblioteca de la Uci cuenta con una variedad de libros educativos,  así como computadoras donde los estudiantes pueden ir y hacer sus tareas, estudiar etc.",22.984317,-82.465559,foto
5,Cancha de Volleyball de playa,Área deportiva,"Las canchas de Volleyball de playa se encuentran en la Universidad,  para fomentar el deporte en la vida estudiantil.",22.984408,-82.466437,FOTO
6,Docente 2 Ernesto Che Guevara,Edificio Docente,El docente número 2 llamado Docente Che Guevara es el docente donde la Facultad 3 imparte sus clases.,22.988808,-82.466807,foto
7,Docente 1 Rubén Martinez Villena,Edificio Docente,El docente número 2 llamado Rubén Martinez Villena es el docente donde la Facultad número 2 imparte sus clases,22.987714,-82.465947,fff
8,Docente 4 Camilo Cienfuegos,Edificio Docente, El docente numero 4 llamado camilo cienfuegos es donde la Facultad número 6 imparte sus clases,22.987403,-82.468736,foto
9,Docente 3 José Martí,Edificio Docente,El docente número 3 llamado José Martí es donde la Facultad número 1 recibe sus clases. ,22.987199,-82.467611,foto
10,Hospital UCI,Hospital,"El Hospital de la Universidad cuenta con salas para todas las especialidades, incluída una farmasia  donde todo el personal de la Universidad puede atenderse de manera gratuita.",22.989328,-82.461586,foto
11,Plaza Niemeyer,Plaza,La plaza Niemeyer es una amplia plaza que contiene el monumento que caracteriza la plaza,22.989731,-82.464692,foto
12,Plaza Mella,Plaza,En ella destaca el monumento de Julio Antonio Mella. todos los estudiantes luego de graduarse suelen tirarse una foto junto a la estatua con su título Universitario.,22.988085,-82.467214,foto
13,Plaza Wilfredo Lam,Plaza,La plaza Wilfredo Lam es una de los sitios más destacados y preferidos de la Universidad. Cuenta con el monumento Wilfredo Lam y con un centro cultural con el mismo nombre,22.983876,-82.465526,foto
14,Edificio 90,Edificio Residencial ,El edificio 90 es un edificio de residencia donde viven los estudiantes designados en ese edificio,22.985013,-82.462665,FOTO
15,Edificio 92,Edificio Residencial,El edificio 92 es un edificio residencial donde viven los estudiantes designados en ese edificio,22.984609,-82.462665,foto
16,Edificio 81,Edificio Residencial,El edificio 81 cuenta con varios apartamentos residenciales donde hacen vida los estudiantes asignados  en ese edificio.,22.985042,-82.463518,foto
